symbol,name,long_only,threshold,best_short,best_long,strategy_return,market_return,edge
510300,沪深300ETF,True,0.0,20,300,1.0059,0.5023,0.5037
510300,沪深300ETF,False,0.0,20,300,0.9486,0.5023,0.4463
510300,沪深300ETF,True,0.02,16,295,0.9303,0.5023,0.4281
510300,沪深300ETF,False,0.02,16,210,0.6589,0.5023,0.1567
510500,中证500ETF,True,0.0,19,125,0.6362,0.8169,-0.1807
510500,中证500ETF,False,0.0,16,235,0.0661,0.8169,-0.7508
510500,中证500ETF,True,0.02,19,140,0.8412,0.8169,0.0243
510500,中证500ETF,False,0.02,43,110,0.0224,0.8169,-0.7945
512100,中证1000ETF,True,0.0,9,260,0.9295,0.244,0.6855
512100,中证1000ETF,False,0.0,9,260,1.3546,0.244,1.1106
512100,中证1000ETF,True,0.02,20,235,0.9329,0.244,0.6889
512100,中证1000ETF,False,0.02,17,245,0.9124,0.244,0.6684
159531,中证2000ETF,True,0.0,16,165,0.753,0.5246,0.2284
159531,中证2000ETF,False,0.0,16,165,0.7294,0.5246,0.2048
159531,中证2000ETF,True,0.02,9,205,0.7326,0.5246,0.208
159531,中证2000ETF,False,0.02,10,235,0.6435,0.5246,0.1189
518880,黄金ETF,True,0.0,7,280,2.819,3.0704,-0.2514
518880,黄金ETF,False,0.0,7,280,2.5309,3.0704,-0.5395
518880,黄金ETF,True,0.02,17,165,2.7332,3.0704,-0.3372
518880,黄金ETF,False,0.02,24,165,2.0463,3.0704,-1.0241
511010,国债ETF,True,0.0,18,175,0.3829,0.3985,-0.0157
511010,国债ETF,False,0.0,18,175,0.3975,0.3985,-0.001
511010,国债ETF,True,0.02,9,295,0.1458,0.3985,-0.2528
511010,国债ETF,False,0.02,9,295,0.136,0.3985,-0.2625
511880,银华日利,True,0.0,5,100,0.2412,0.2416,-0.0004
511880,银华日利,False,0.0,5,100,0.2412,0.2416,-0.0004
511880,银华日利,True,0.02,8,300,0.0136,0.2416,-0.2281
511880,银华日利,False,0.02,8,300,0.0136,0.2416,-0.2281
