symbol,name,long_only,threshold,n_segments,oos_strategy_return,oos_market_return,edge
300750,宁德时代,True,0.0,5,-0.0143,0.9896,-1.0039
300750,宁德时代,False,0.0,5,-0.7503,0.9896,-1.7399
300750,宁德时代,True,0.02,5,0.5462,0.9896,-0.4434
300750,宁德时代,False,0.02,5,-0.425,0.9896,-1.4146
600519,贵州茅台,True,0.0,9,-0.2627,1.3504,-1.613
600519,贵州茅台,False,0.0,9,-0.6676,1.3504,-2.0179
600519,贵州茅台,True,0.02,9,0.1338,1.3504,-1.2166
600519,贵州茅台,False,0.02,9,-0.7269,1.3504,-2.0773
601318,中国平安,True,0.0,9,0.204,0.1134,0.0906
601318,中国平安,False,0.0,9,-0.0214,0.1134,-0.1348
601318,中国平安,True,0.02,9,-0.2234,0.1134,-0.3368
601318,中国平安,False,0.02,9,-0.4325,0.1134,-0.5459
300308,中际旭创,True,0.0,9,16.4652,29.7299,-13.2647
300308,中际旭创,False,0.0,9,-0.0171,29.7299,-29.747
300308,中际旭创,True,0.02,9,18.2563,29.7299,-11.4736
300308,中际旭创,False,0.02,9,3.6484,29.7299,-26.0815
601899,紫金矿业,True,0.0,9,3.1432,7.6335,-4.4903
601899,紫金矿业,False,0.0,9,0.5346,7.6335,-7.0989
601899,紫金矿业,True,0.02,9,2.6187,7.6335,-5.0148
601899,紫金矿业,False,0.02,9,1.0866,7.6335,-6.5469
600036,招商银行,True,0.0,9,0.5321,0.8603,-0.3282
600036,招商银行,False,0.0,9,-0.4717,0.8603,-1.3319
600036,招商银行,True,0.02,9,0.4426,0.8603,-0.4177
600036,招商银行,False,0.02,9,-0.3185,0.8603,-1.1787
300502,新易盛,True,0.0,8,34.4754,74.4009,-39.9255
300502,新易盛,False,0.0,8,3.462,74.4009,-70.9389
300502,新易盛,True,0.02,8,19.83,74.4009,-54.5708
300502,新易盛,False,0.02,8,1.1821,74.4009,-73.2187
000333,美的集团,True,0.0,9,0.6497,0.8248,-0.1751
000333,美的集团,False,0.0,9,-0.0908,0.8248,-0.9156
000333,美的集团,True,0.02,9,0.1043,0.8248,-0.7205
000333,美的集团,False,0.02,9,-0.0195,0.8248,-0.8444
601166,兴业银行,True,0.0,9,0.286,0.6182,-0.3322
601166,兴业银行,False,0.0,9,0.0554,0.6182,-0.5629
601166,兴业银行,True,0.02,9,0.4568,0.6182,-0.1614
601166,兴业银行,False,0.02,9,0.0886,0.6182,-0.5296
600900,长江电力,True,0.0,9,0.6322,1.2519,-0.6197
600900,长江电力,False,0.0,9,-0.1945,1.2519,-1.4464
600900,长江电力,True,0.02,9,0.0845,1.2519,-1.1674
600900,长江电力,False,0.02,9,-0.1547,1.2519,-1.4066
