date,symbol,adjust,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover,source,updated_at
2015-02-05,159939,hfq,0.993,1.036,0.993,1.012,789274,80218660.0,4.24,-0.1,-0.001,7.27,akshare,2026-04-28 00:51:03
2015-02-06,159939,hfq,1.01,1.028,0.966,0.986,179230,18040254.0,6.13,-2.57,-0.026,1.65,akshare,2026-04-28 00:51:03
2015-02-09,159939,hfq,0.986,0.999,0.98,0.985,59590,5912859.0,1.93,-0.1,-0.001,0.55,akshare,2026-04-28 00:51:03
2015-02-10,159939,hfq,0.98,1.004,0.98,1.004,58217,5757045.0,2.44,1.93,0.019,0.54,akshare,2026-04-28 00:51:03
2015-02-11,159939,hfq,1.009,1.031,0.999,1.027,234878,23990540.0,3.19,2.29,0.023,2.16,akshare,2026-04-28 00:51:03
2015-02-12,159939,hfq,1.028,1.04,1.02,1.032,143735,14868612.0,1.95,0.49,0.005,1.32,akshare,2026-04-28 00:51:03
2015-02-13,159939,hfq,1.033,1.055,1.033,1.049,158704,16620766.0,2.13,1.65,0.017,1.46,akshare,2026-04-28 00:51:03
2015-02-16,159939,hfq,1.05,1.088,1.049,1.088,170564,18316158.0,3.72,3.72,0.039,1.57,akshare,2026-04-28 00:51:03
2015-02-17,159939,hfq,1.13,1.13,1.073,1.09,117232,12739565.0,5.24,0.18,0.002,1.08,akshare,2026-04-28 00:51:03
2015-02-25,159939,hfq,1.082,1.098,1.062,1.076,159769,17363710.0,3.3,-1.28,-0.014,1.47,akshare,2026-04-28 00:51:03
2015-02-26,159939,hfq,1.076,1.079,1.063,1.077,107193,11500249.0,1.49,0.09,0.001,0.99,akshare,2026-04-28 00:51:03
2015-02-27,159939,hfq,1.078,1.098,1.071,1.095,130963,14241425.0,2.51,1.67,0.018,1.21,akshare,2026-04-28 00:51:03
2015-03-02,159939,hfq,1.094,1.128,1.088,1.126,134430,14943582.0,3.65,2.83,0.031,1.24,akshare,2026-04-28 00:51:03
2015-03-03,159939,hfq,1.138,1.14,1.102,1.111,99410,11138932.0,3.37,-1.33,-0.015,0.92,akshare,2026-04-28 00:51:03
2015-03-04,159939,hfq,1.102,1.128,1.102,1.117,147399,16513423.0,2.34,0.54,0.006,1.36,akshare,2026-04-28 00:51:03
2015-03-05,159939,hfq,1.127,1.127,1.103,1.111,133847,14902227.0,2.15,-0.54,-0.006,1.23,akshare,2026-04-28 00:51:03
2015-03-06,159939,hfq,1.125,1.129,1.085,1.093,68427,7532394.0,3.96,-1.62,-0.018,0.63,akshare,2026-04-28 00:51:03
2015-03-09,159939,hfq,1.085,1.12,1.08,1.117,108885,12046896.0,3.66,2.2,0.024,1.0,akshare,2026-04-28 00:51:03
2015-03-10,159939,hfq,1.12,1.134,1.105,1.13,101380,11439905.0,2.6,1.16,0.013,0.93,akshare,2026-04-28 00:51:03
2015-03-11,159939,hfq,1.13,1.145,1.121,1.124,71077,8065705.0,2.12,-0.53,-0.006,0.65,akshare,2026-04-28 00:51:03
2015-03-12,159939,hfq,1.135,1.141,1.108,1.121,66088,7411802.0,2.94,-0.27,-0.003,0.61,akshare,2026-04-28 00:51:03
2015-03-13,159939,hfq,1.13,1.154,1.121,1.153,86588,9868128.0,2.94,2.85,0.032,0.8,akshare,2026-04-28 00:51:03
2015-03-16,159939,hfq,1.155,1.2,1.155,1.198,94253,11192125.0,3.9,3.9,0.045,0.87,akshare,2026-04-28 00:51:03
