date,symbol,adjust,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover,source,updated_at
2015-01-05,510230,qfq,0.928,0.949,0.903,0.933,2989613,1803917488.0,5.01,1.63,0.015,9.18,akshare,2026-04-28 00:49:28
2015-01-06,510230,qfq,0.921,0.947,0.894,0.911,4035452,2422545744.0,5.68,-2.36,-0.022,12.39,akshare,2026-04-28 00:49:28
2015-01-07,510230,qfq,0.909,0.94,0.895,0.913,4019072,2413054864.0,4.94,0.22,0.002,12.34,akshare,2026-04-28 00:49:28
2015-01-08,510230,qfq,0.915,0.926,0.867,0.871,3783768,2213345216.0,6.46,-4.6,-0.042,11.62,akshare,2026-04-28 00:49:28
2015-01-09,510230,qfq,0.863,0.948,0.859,0.882,4042094,2376352240.0,10.22,1.26,0.011,12.41,akshare,2026-04-28 00:49:28
2015-01-12,510230,qfq,0.886,0.898,0.849,0.871,3911396,2259266912.0,5.56,-1.25,-0.011,12.01,akshare,2026-04-28 00:49:28
2015-01-13,510230,qfq,0.864,0.88,0.85,0.854,1809759,1037673392.0,3.44,-1.95,-0.017,5.56,akshare,2026-04-28 00:49:28
2015-01-14,510230,qfq,0.853,0.883,0.853,0.868,3044149,1754084160.0,3.51,1.64,0.014,9.35,akshare,2026-04-28 00:49:28
2015-01-15,510230,qfq,0.867,0.919,0.859,0.917,3129912,1816296144.0,6.91,5.65,0.049,9.61,akshare,2026-04-28 00:49:28
2015-01-16,510230,qfq,0.921,0.939,0.909,0.92,3623119,2186980464.0,3.27,0.33,0.003,11.12,akshare,2026-04-28 00:49:28
2015-01-19,510230,qfq,0.801,0.839,0.8,0.8,374790,206382216.0,4.24,-13.04,-0.12,1.15,akshare,2026-04-28 00:49:28
2015-01-20,510230,qfq,0.772,0.803,0.759,0.783,1722917,921344064.0,5.5,-2.13,-0.017,5.29,akshare,2026-04-28 00:49:28
2015-01-21,510230,qfq,0.788,0.863,0.788,0.856,1983645,1087537296.0,9.58,9.32,0.073,6.09,akshare,2026-04-28 00:49:28
2015-01-22,510230,qfq,0.856,0.863,0.835,0.851,1674536,948307568.0,3.27,-0.58,-0.005,5.14,akshare,2026-04-28 00:49:28
2015-01-23,510230,qfq,0.853,0.895,0.853,0.868,2394119,1382165632.0,4.94,2.0,0.017,7.35,akshare,2026-04-28 00:49:28
2015-01-26,510230,qfq,0.867,0.869,0.845,0.86,1123546,638617056.0,2.76,-0.92,-0.008,3.45,akshare,2026-04-28 00:49:28
2015-01-27,510230,qfq,0.856,0.864,0.815,0.835,900538,504803696.0,5.7,-2.91,-0.025,2.77,akshare,2026-04-28 00:49:28
2015-01-28,510230,qfq,0.828,0.847,0.815,0.82,1426500,793114816.0,3.83,-1.8,-0.015,4.38,akshare,2026-04-28 00:49:28
