date,symbol,adjust,open,high,low,close,volume,amount,amplitude,pct_change,change,turnover,source,updated_at
2015-01-05,511880,raw,100.215,100.225,100.181,100.204,350236,3509464176.0,0.04,-0.09,-0.091,4.23,akshare,2026-04-25 23:59:23
2015-01-06,511880,raw,100.205,100.217,100.199,100.216,156099,1564200064.0,0.02,0.01,0.012,1.89,akshare,2026-04-25 23:59:23
2015-01-07,511880,raw,100.213,100.227,100.204,100.221,201270,2017112064.0,0.02,0.0,0.005,2.43,akshare,2026-04-25 23:59:23
2015-01-08,511880,raw,100.218,100.249,100.215,100.244,190614,1910533632.0,0.03,0.02,0.023,2.3,akshare,2026-04-25 23:59:23
2015-01-09,511880,raw,100.244,100.254,100.211,100.242,172877,1732994448.0,0.04,0.0,-0.002,2.09,akshare,2026-04-25 23:59:23
2015-01-12,511880,raw,100.22,100.247,100.201,100.242,217845,2183316224.0,0.05,0.0,0.0,2.63,akshare,2026-04-25 23:59:23
2015-01-13,511880,raw,100.22,100.266,100.219,100.262,179229,1796822880.0,0.05,0.02,0.02,2.16,akshare,2026-04-25 23:59:23
2015-01-14,511880,raw,100.262,100.293,100.256,100.289,124792,1251473184.0,0.04,0.03,0.027,1.51,akshare,2026-04-25 23:59:23
2015-01-15,511880,raw,100.305,100.313,100.298,100.312,68884,690951040.0,0.01,0.02,0.023,0.83,akshare,2026-04-25 23:59:23
2015-01-16,511880,raw,100.333,100.352,100.327,100.352,93758,940799808.0,0.02,0.04,0.04,1.13,akshare,2026-04-25 23:59:23
2015-01-19,511880,raw,100.362,100.408,100.359,100.399,126618,1270961904.0,0.05,0.05,0.047,1.53,akshare,2026-04-25 23:59:23
2015-01-20,511880,raw,100.399,101.0,100.396,100.519,168763,1695265952.0,0.6,0.12,0.12,2.04,akshare,2026-04-25 23:59:23
2015-01-21,511880,raw,100.391,100.496,100.39,100.48,254530,2556802016.0,0.11,-0.04,-0.039,3.07,akshare,2026-04-25 23:59:23
2015-01-22,511880,raw,100.436,100.474,100.396,100.429,259705,2608607392.0,0.08,-0.05,-0.051,3.14,akshare,2026-04-25 23:59:23
2015-01-23,511880,raw,100.426,100.433,100.415,100.432,226826,2277944928.0,0.02,0.0,0.003,2.74,akshare,2026-04-25 23:59:23
2015-01-26,511880,raw,100.438,100.442,100.435,100.439,164479,1652011472.0,0.01,0.01,0.007,1.99,akshare,2026-04-25 23:59:23
2015-01-27,511880,raw,100.445,100.452,100.444,100.452,281644,2829070544.0,0.01,0.01,0.013,3.4,akshare,2026-04-25 23:59:23
2015-01-28,511880,raw,100.459,100.465,100.453,100.464,193706,1945968944.0,0.01,0.01,0.012,2.34,akshare,2026-04-25 23:59:23
2015-01-29,511880,raw,100.471,100.48,100.471,100.479,218078,2191141024.0,0.01,0.01,0.015,2.63,akshare,2026-04-25 23:59:23
2015-01-30,511880,raw,100.499,100.499,100.406,100.448,212872,2138551104.0,0.09,-0.03,-0.031,2.57,akshare,2026-04-25 23:59:23
2015-02-02,511880,raw,100.453,100.475,100.45,100.47,211100,2120703856.0,0.02,0.02,0.022,2.55,akshare,2026-04-25 23:59:23
2015-02-03,511880,raw,100.479,100.51,100.479,100.508,176870,1777467104.0,0.03,0.04,0.038,2.14,akshare,2026-04-25 23:59:23
2015-02-04,511880,raw,100.526,100.55,100.523,100.548,199508,2005789808.0,0.03,0.04,0.04,2.41,akshare,2026-04-25 23:59:23
2015-02-05,511880,raw,100.54,100.565,100.535,100.564,154788,1556428656.0,0.03,0.02,0.016,1.87,akshare,2026-04-25 23:59:23
2015-02-06,511880,raw,100.565,100.577,100.562,100.57,111124,1117588400.0,0.01,0.01,0.006,1.34,akshare,2026-04-25 23:59:23
2015-02-09,511880,raw,100.557,100.57,100.54,100.561,129238,1299570992.0,0.03,-0.01,-0.009,1.56,akshare,2026-04-25 23:59:23
2015-02-10,511880,raw,100.56,100.562,100.522,100.544,149314,1501406864.0,0.04,-0.02,-0.017,1.8,akshare,2026-04-25 23:59:23
2015-02-11,511880,raw,100.558,100.6,100.49,100.558,50778,510512288.0,0.11,0.01,0.014,0.61,akshare,2026-04-25 23:59:23
2015-02-12,511880,raw,100.619,100.642,100.5,100.639,72052,725087104.0,0.14,0.08,0.081,0.87,akshare,2026-04-25 23:59:23
2015-02-13,511880,raw,100.687,100.802,100.687,100.783,209500,2111104544.0,0.11,0.14,0.144,2.53,akshare,2026-04-25 23:59:23
2015-02-16,511880,raw,100.93,100.93,100.752,100.887,119774,1207708528.0,0.18,0.1,0.104,1.45,akshare,2026-04-25 23:59:23
2015-02-17,511880,raw,100.843,100.849,100.778,100.797,259507,2616202688.0,0.07,-0.09,-0.09,3.13,akshare,2026-04-25 23:59:23
2015-02-25,511880,raw,100.791,100.799,100.783,100.797,132735,1337877712.0,0.02,0.0,0.0,1.6,akshare,2026-04-25 23:59:23
2015-02-26,511880,raw,100.803,100.811,100.8,100.806,139942,1410726816.0,0.01,0.01,0.009,1.69,akshare,2026-04-25 23:59:23
2015-02-27,511880,raw,100.825,100.826,100.804,100.812,190207,1917511536.0,0.02,0.01,0.006,2.3,akshare,2026-04-25 23:59:23
2015-03-02,511880,raw,100.806,100.841,100.805,100.837,182236,1837447360.0,0.04,0.02,0.025,2.2,akshare,2026-04-25 23:59:23
2015-03-03,511880,raw,100.846,100.848,100.835,100.845,185193,1867540496.0,0.01,0.01,0.008,2.24,akshare,2026-04-25 23:59:23
2015-03-04,511880,raw,100.852,100.858,100.848,100.857,150225,1515066416.0,0.01,0.01,0.012,1.81,akshare,2026-04-25 23:59:23
2015-03-05,511880,raw,100.868,100.87,100.859,100.868,203803,2055671168.0,0.01,0.01,0.011,2.46,akshare,2026-04-25 23:59:23
2015-03-06,511880,raw,100.876,100.878,100.862,100.876,194761,1964589952.0,0.02,0.01,0.008,2.35,akshare,2026-04-25 23:59:23
2015-03-09,511880,raw,100.877,100.89,100.84,100.879,200641,2023916336.0,0.05,0.0,0.003,2.42,akshare,2026-04-25 23:59:23
2015-03-10,511880,raw,100.871,100.919,100.871,100.906,125263,1263852992.0,0.05,0.03,0.027,1.51,akshare,2026-04-25 23:59:23
2015-03-11,511880,raw,100.905,100.91,100.876,100.901,141061,1423191584.0,0.03,0.0,-0.005,1.7,akshare,2026-04-25 23:59:23
2015-03-12,511880,raw,100.901,100.945,100.85,100.936,118154,1192521712.0,0.09,0.03,0.035,1.43,akshare,2026-04-25 23:59:23
2015-03-13,511880,raw,100.995,101.013,100.995,101.01,100022,1010257552.0,0.02,0.07,0.074,1.21,akshare,2026-04-25 23:59:23
2015-03-16,511880,raw,101.033,101.087,101.032,101.084,166811,1685608992.0,0.05,0.07,0.074,2.01,akshare,2026-04-25 23:59:23
2015-03-17,511880,raw,101.089,101.116,100.087,101.112,253380,2561047248.0,1.02,0.03,0.028,3.06,akshare,2026-04-25 23:59:23
2015-03-18,511880,raw,101.08,101.096,101.07,101.096,427151,4318085120.0,0.03,-0.02,-0.016,5.16,akshare,2026-04-25 23:59:23
2015-03-19,511880,raw,101.08,101.09,101.067,101.084,543911,5497782016.0,0.02,-0.01,-0.012,6.57,akshare,2026-04-25 23:59:23
2015-03-20,511880,raw,101.084,101.102,101.084,101.099,892025,9018130432.0,0.02,0.01,0.015,10.77,akshare,2026-04-25 23:59:23
2015-03-23,511880,raw,101.111,101.114,101.106,101.111,1126105,11386022656.0,0.01,0.01,0.012,13.6,akshare,2026-04-25 23:59:23
2015-03-24,511880,raw,101.12,101.123,101.107,101.12,746603,7549540096.0,0.02,0.01,0.009,9.02,akshare,2026-04-25 23:59:23
2015-03-25,511880,raw,101.127,101.141,101.126,101.139,636285,6434819584.0,0.01,0.02,0.019,7.69,akshare,2026-04-25 23:59:23
2015-03-26,511880,raw,101.144,101.152,101.141,101.149,324449,3281698192.0,0.01,0.01,0.01,3.92,akshare,2026-04-25 23:59:23
2015-03-27,511880,raw,101.159,101.178,101.154,101.176,300112,3036091360.0,0.02,0.03,0.027,3.62,akshare,2026-04-25 23:59:23
2015-03-30,511880,raw,101.181,101.185,101.17,101.175,209724,2121998512.0,0.01,0.0,-0.001,2.53,akshare,2026-04-25 23:59:23
2015-03-31,511880,raw,101.177,101.18,101.15,101.177,304191,3077476944.0,0.03,0.0,0.002,3.67,akshare,2026-04-25 23:59:23
2015-04-01,511880,raw,101.185,101.209,101.182,101.203,177322,1794334912.0,0.03,0.03,0.026,2.14,akshare,2026-04-25 23:59:23
2015-04-02,511880,raw,101.205,101.228,101.205,101.228,106886,1081877264.0,0.02,0.02,0.025,1.29,akshare,2026-04-25 23:59:23
2015-04-03,511880,raw,101.24,101.266,101.238,101.264,136369,1380771920.0,0.03,0.04,0.036,1.65,akshare,2026-04-25 23:59:23
2015-04-07,511880,raw,101.262,101.274,101.251,101.273,127888,1295048864.0,0.02,0.01,0.009,1.54,akshare,2026-04-25 23:59:23
2015-04-08,511880,raw,101.279,101.295,101.276,101.294,156346,1583557520.0,0.02,0.02,0.021,1.89,akshare,2026-04-25 23:59:23
2015-04-09,511880,raw,101.296,101.307,101.293,101.305,172950,1751973072.0,0.01,0.01,0.011,2.09,akshare,2026-04-25 23:59:23
2015-04-10,511880,raw,101.296,101.31,101.29,101.304,189093,1915548048.0,0.02,0.0,-0.001,2.28,akshare,2026-04-25 23:59:23
2015-04-13,511880,raw,101.284,101.286,101.212,101.264,253658,2568734320.0,0.07,-0.04,-0.04,3.06,akshare,2026-04-25 23:59:23
2015-04-14,511880,raw,101.26,101.292,101.245,101.291,229714,2326144832.0,0.05,0.03,0.027,2.77,akshare,2026-04-25 23:59:23
2015-04-15,511880,raw,101.283,101.328,101.283,101.322,113985,1154740272.0,0.04,0.03,0.031,1.38,akshare,2026-04-25 23:59:23
2015-04-16,511880,raw,101.366,101.37,101.325,101.368,115414,1169724864.0,0.04,0.05,0.046,1.39,akshare,2026-04-25 23:59:23
2015-04-17,511880,raw,101.417,101.455,101.416,101.454,175278,1777746272.0,0.04,0.08,0.086,2.12,akshare,2026-04-25 23:59:23
2015-04-20,511880,raw,101.456,101.58,101.456,101.571,182182,1849620064.0,0.12,0.12,0.117,2.2,akshare,2026-04-25 23:59:23
2015-04-21,511880,raw,101.503,101.62,101.503,101.617,360094,3657619248.0,0.12,0.05,0.046,4.35,akshare,2026-04-25 23:59:23
2015-04-22,511880,raw,101.545,101.579,101.518,101.522,679568,6901998080.0,0.06,-0.09,-0.095,8.21,akshare,2026-04-25 23:59:23
2015-04-23,511880,raw,101.499,101.5,101.482,101.497,326992,3318721088.0,0.02,-0.02,-0.025,3.95,akshare,2026-04-25 23:59:23
2015-04-24,511880,raw,101.497,101.507,101.471,101.505,403097,4091318368.0,0.04,0.01,0.008,4.87,akshare,2026-04-25 23:59:23
