date,symbol,adjust,open,high,low,close,pre_close,change,pct_change,volume,amount,source,updated_at
2015-01-05,300308,hfq,30.52,30.69,27.69,29.63,30.49,-0.8599999999999994,-2.82,34842.31,30881.826,tushare,2026-04-26 00:34:16
2015-01-06,300308,hfq,29.6,31.02,29.0,30.88,29.63,1.25,4.22,34043.03,31266.5712,tushare,2026-04-26 00:34:16
2015-01-07,300308,hfq,31.28,32.56,30.82,31.58,30.88,0.6999999999999993,2.27,52102.31,50321.2656,tushare,2026-04-26 00:34:16
2015-01-08,300308,hfq,31.31,32.7,30.85,31.81,31.58,0.23000000000000043,0.73,43642.38,42153.7034,tushare,2026-04-26 00:34:16
2015-01-09,300308,hfq,31.61,32.5,30.82,31.15,31.81,-0.6600000000000001,-2.07,33620.75,32234.3475,tushare,2026-04-26 00:34:16
2015-01-12,300308,hfq,30.82,30.85,29.27,29.4,31.15,-1.75,-5.62,26438.98,23964.6369,tushare,2026-04-26 00:34:16
2015-01-13,300308,hfq,29.53,31.21,29.33,30.95,29.4,1.5500000000000007,5.27,31747.11,29334.3488,tushare,2026-04-26 00:34:16
2015-01-14,300308,hfq,31.25,31.58,30.09,31.51,30.95,0.5600000000000023,1.81,36442.31,34112.9034,tushare,2026-04-26 00:34:16
2015-01-15,300308,hfq,31.31,32.47,31.18,31.67,31.51,0.16000000000000014,0.51,40035.07,38642.2958,tushare,2026-04-26 00:34:16
2015-01-16,300308,hfq,31.34,32.04,29.66,32.0,31.67,0.3299999999999983,1.04,34676.03,32970.5816,tushare,2026-04-26 00:34:16
2015-01-19,300308,hfq,30.98,33.32,30.36,32.1,32.0,0.10000000000000142,0.31,72037.13,70419.3469,tushare,2026-04-26 00:34:16
2015-01-20,300308,hfq,32.1,34.81,31.97,34.28,32.1,2.1799999999999997,6.79,79332.12,80290.4019,tushare,2026-04-26 00:34:16
2015-01-21,300308,hfq,34.08,34.61,33.52,34.44,34.28,0.1599999999999966,0.47,75545.64,77900.9152,tushare,2026-04-26 00:34:16
2015-01-22,300308,hfq,34.01,36.19,33.82,35.3,34.44,0.8599999999999994,2.5,70530.3,74724.3364,tushare,2026-04-26 00:34:16
2015-01-26,300308,hfq,35.93,35.93,34.64,35.23,35.3,-0.07000000000000028,-0.2,36976.79,39293.1932,tushare,2026-04-26 00:34:16
2015-01-27,300308,hfq,34.94,35.4,33.22,34.48,35.23,-0.75,-2.13,47012.82,49031.7207,tushare,2026-04-26 00:34:16
2015-01-28,300308,hfq,34.28,35.2,33.98,34.15,34.48,-0.3299999999999983,-0.96,37445.29,39297.9376,tushare,2026-04-26 00:34:16
2015-01-29,300308,hfq,34.15,34.9,33.82,34.08,34.15,-0.07000000000000028,-0.2,26549.82,27676.5396,tushare,2026-04-26 00:34:16
2015-01-30,300308,hfq,34.87,34.87,33.45,33.62,34.08,-0.46000000000000085,-1.35,18859.0,19457.9182,tushare,2026-04-26 00:34:16
2015-02-02,300308,hfq,32.99,33.62,32.6,33.29,33.62,-0.3299999999999983,-0.98,18394.24,18489.7761,tushare,2026-04-26 00:34:16
2015-02-03,300308,hfq,33.39,34.05,33.16,33.82,33.29,0.5300000000000011,1.59,21278.36,21756.07,tushare,2026-04-26 00:34:16
2015-02-04,300308,hfq,33.88,34.81,33.45,34.08,33.82,0.259999999999998,0.77,27730.54,28647.5933,tushare,2026-04-26 00:34:16
2015-02-05,300308,hfq,33.95,34.58,33.49,33.59,34.08,-0.4899999999999949,-1.44,28472.73,29504.2993,tushare,2026-04-26 00:34:16
2015-02-06,300308,hfq,33.62,33.65,31.34,31.51,33.59,-2.080000000000002,-6.19,29225.8,28837.3312,tushare,2026-04-26 00:34:16
2015-02-09,300308,hfq,31.31,31.91,30.26,30.46,31.51,-1.0500000000000007,-3.33,20138.12,19126.6469,tushare,2026-04-26 00:34:16
2015-02-10,300308,hfq,30.46,32.63,30.46,31.67,30.46,1.2100000000000009,3.97,19970.3,19211.6154,tushare,2026-04-26 00:34:16
2015-02-11,300308,hfq,31.94,32.63,31.51,31.97,31.67,0.29999999999999716,0.95,12795.74,12418.1744,tushare,2026-04-26 00:34:16
2015-02-12,300308,hfq,31.97,32.47,31.71,32.14,31.97,0.1700000000000017,0.53,16086.79,15654.8463,tushare,2026-04-26 00:34:16
2015-02-13,300308,hfq,32.5,33.55,32.4,32.96,32.14,0.8200000000000003,2.55,21720.84,21768.5361,tushare,2026-04-26 00:34:16
2015-02-16,300308,hfq,33.32,35.93,32.99,35.33,32.96,2.3699999999999974,7.19,57311.5,59778.6526,tushare,2026-04-26 00:34:16
2015-02-17,300308,hfq,35.27,36.68,34.38,35.27,35.33,-0.05999999999999517,-0.17,56182.95,60354.8918,tushare,2026-04-26 00:34:16
2015-02-25,300308,hfq,34.97,36.16,34.71,35.27,35.27,0.0,0.0,37749.6,40564.9836,tushare,2026-04-26 00:34:16
2015-02-26,300308,hfq,35.23,35.43,33.95,35.2,35.27,-0.07000000000000028,-0.2,27486.28,29153.3914,tushare,2026-04-26 00:34:16
2015-02-27,300308,hfq,35.23,36.09,35.0,35.6,35.2,0.3999999999999986,1.14,46971.39,50891.395,tushare,2026-04-26 00:34:16
2015-03-02,300308,hfq,35.53,36.12,35.46,36.03,35.6,0.4299999999999997,1.21,67005.29,72792.6503,tushare,2026-04-26 00:34:16
2015-03-03,300308,hfq,35.93,37.18,35.53,35.76,36.03,-0.2700000000000031,-0.75,66370.2,73087.6219,tushare,2026-04-26 00:34:16
2015-03-04,300308,hfq,35.83,36.55,35.66,36.42,35.76,0.6600000000000037,1.85,54534.74,59747.3815,tushare,2026-04-26 00:34:16
2015-03-05,300308,hfq,36.95,38.63,36.65,37.81,36.42,1.3900000000000006,3.82,88799.4,101227.5695,tushare,2026-04-26 00:34:16
2015-03-06,300308,hfq,37.48,38.33,37.24,38.04,37.81,0.22999999999999687,0.61,93742.25,107683.0779,tushare,2026-04-26 00:34:16
2015-03-09,300308,hfq,38.17,40.54,37.57,39.26,38.04,1.2199999999999989,3.21,129948.76,155229.3176,tushare,2026-04-26 00:34:16
2015-03-10,300308,hfq,39.32,39.72,38.79,39.19,39.26,-0.07000000000000028,-0.18,71271.94,84762.4257,tushare,2026-04-26 00:34:16
2015-03-11,300308,hfq,39.16,41.27,38.23,41.17,39.19,1.980000000000004,5.05,118101.47,143112.9404,tushare,2026-04-26 00:34:16
2015-03-12,300308,hfq,40.71,41.0,39.19,39.62,41.17,-1.5500000000000043,-3.76,67674.0,82118.6833,tushare,2026-04-26 00:34:16
2015-03-13,300308,hfq,39.62,40.15,38.63,39.52,39.62,-0.09999999999999432,-0.25,45291.46,54098.7908,tushare,2026-04-26 00:34:16
2015-03-16,300308,hfq,39.52,41.04,38.63,40.67,39.52,1.1499999999999986,2.91,90995.02,110418.6003,tushare,2026-04-26 00:34:16
2015-03-17,300308,hfq,40.38,42.98,40.24,42.06,40.67,1.3900000000000006,3.42,113124.49,143793.2321,tushare,2026-04-26 00:34:16
2015-03-18,300308,hfq,42.16,43.51,42.02,42.45,42.06,0.39000000000000057,0.93,70491.22,90990.177,tushare,2026-04-26 00:34:16
2015-03-19,300308,hfq,42.45,44.5,41.79,43.41,42.45,0.9599999999999937,2.26,92037.32,121089.733,tushare,2026-04-26 00:34:16
2015-03-20,300308,hfq,43.67,43.84,42.39,43.77,43.41,0.36000000000000654,0.83,71323.16,93164.2119,tushare,2026-04-26 00:34:16
2015-04-20,300308,hfq,45.45,48.15,42.85,44.89,43.77,1.1199999999999974,2.56,216997.3,300847.8384,tushare,2026-04-26 00:34:16
2015-04-21,300308,hfq,44.33,45.81,42.06,45.25,44.89,0.35999999999999943,0.8,117137.21,156725.0562,tushare,2026-04-26 00:34:16
2015-04-22,300308,hfq,44.73,46.64,44.73,46.51,45.25,1.259999999999998,2.78,122553.24,169764.6658,tushare,2026-04-26 00:34:16
2015-04-23,300308,hfq,46.31,51.15,45.78,49.21,46.51,2.700000000000003,5.81,128393.2,191795.8674,tushare,2026-04-26 00:34:16
2015-04-24,300308,hfq,48.45,50.1,47.13,48.98,49.21,-0.23000000000000398,-0.47,103927.76,154750.3315,tushare,2026-04-26 00:34:16
2015-04-27,300308,hfq,48.98,53.89,48.81,52.21,48.98,3.230000000000004,6.59,122004.44,189961.5237,tushare,2026-04-26 00:34:16
2015-04-28,300308,hfq,52.34,56.95,51.09,53.33,52.21,1.1199999999999974,2.15,133463.57,219812.8786,tushare,2026-04-26 00:34:16
2015-04-29,300308,hfq,52.67,58.67,52.67,58.67,53.33,5.340000000000003,10.01,80426.87,138508.6715,tushare,2026-04-26 00:34:16
2015-04-30,300308,hfq,63.22,64.4,59.0,60.71,58.67,2.039999999999999,3.48,158619.48,297038.0015,tushare,2026-04-26 00:34:16
2015-05-04,300308,hfq,60.78,63.25,57.02,58.57,60.71,-2.1400000000000006,-3.52,78336.85,141289.1797,tushare,2026-04-26 00:34:16
2015-05-05,300308,hfq,57.71,58.93,54.25,55.21,58.57,-3.3599999999999994,-5.74,90298.18,152970.8786,tushare,2026-04-26 00:34:16
2015-05-06,300308,hfq,55.18,57.02,52.57,53.03,55.21,-2.1799999999999997,-3.95,63120.05,105877.1048,tushare,2026-04-26 00:34:16
2015-05-07,300308,hfq,53.07,53.72,49.57,52.08,53.03,-0.9500000000000028,-1.79,59523.11,92872.0337,tushare,2026-04-26 00:34:16
2015-05-08,300308,hfq,52.47,56.33,51.85,56.3,52.08,4.219999999999999,8.1,73550.85,120037.063,tushare,2026-04-26 00:34:16
2015-05-11,300308,hfq,56.53,60.91,56.3,58.7,56.3,2.4000000000000057,4.26,85322.39,150598.0994,tushare,2026-04-26 00:34:16
2015-05-12,300308,hfq,58.83,60.45,57.35,58.34,58.7,-0.35999999999999943,-0.61,71125.67,126792.6368,tushare,2026-04-26 00:34:16
2015-05-13,300308,hfq,57.35,58.54,55.93,56.76,58.34,-1.5800000000000054,-2.71,69166.84,119603.9551,tushare,2026-04-26 00:34:16
2015-05-14,300308,hfq,56.76,58.01,55.21,55.21,56.76,-1.5499999999999972,-2.73,57732.5,98557.643,tushare,2026-04-26 00:34:16
2015-05-15,300308,hfq,54.65,58.83,53.92,57.65,55.21,2.4399999999999977,4.42,62438.56,107398.0316,tushare,2026-04-26 00:34:16
2015-05-18,300308,hfq,57.55,63.42,57.55,63.42,57.65,5.770000000000003,10.01,108905.4,204493.3039,tushare,2026-04-26 00:34:16
2015-05-19,300308,hfq,66.58,69.18,61.96,64.6,63.42,1.1799999999999926,1.86,123352.38,242747.528,tushare,2026-04-26 00:34:16
2015-05-20,300308,hfq,65.72,70.4,64.83,68.1,64.6,3.5,5.42,80023.33,164591.973,tushare,2026-04-26 00:34:16
2015-05-21,300308,hfq,68.06,74.13,66.12,73.34,68.1,5.240000000000009,7.69,76308.29,163460.9733,tushare,2026-04-26 00:34:16
2015-05-22,300308,hfq,74.23,80.29,69.08,79.6,73.34,6.259999999999991,8.54,118836.61,271901.13,tushare,2026-04-26 00:34:16
2015-05-25,300308,hfq,77.46,84.31,73.37,80.42,79.6,0.8200000000000074,1.03,82853.65,200465.561,tushare,2026-04-26 00:34:16
2015-05-26,300308,hfq,80.62,82.37,78.28,79.93,80.42,-0.4899999999999949,-0.61,67362.36,163603.8104,tushare,2026-04-26 00:34:16
2015-05-27,300308,hfq,79.96,80.03,75.64,77.13,79.93,-2.8000000000000114,-3.5,70401.28,164934.1155,tushare,2026-04-26 00:34:16
2015-05-28,300308,hfq,77.59,78.61,69.41,69.41,77.13,-7.719999999999999,-10.01,74211.05,169157.6118,tushare,2026-04-26 00:34:16
2015-05-29,300308,hfq,69.81,73.43,63.94,72.51,69.41,3.1000000000000085,4.47,81114.3,172462.6586,tushare,2026-04-26 00:34:16
2015-06-01,300308,hfq,75.41,78.71,73.01,76.96,72.51,4.449999999999989,6.14,72316.27,167558.492,tushare,2026-04-26 00:34:16
2015-06-02,300308,hfq,77.06,84.67,77.06,84.67,76.96,7.710000000000008,10.02,79864.52,197358.6246,tushare,2026-04-26 00:34:16
2015-06-03,300308,hfq,87.34,89.49,81.02,83.09,84.67,-1.5799999999999983,-1.87,76549.73,197103.4492,tushare,2026-04-26 00:34:16
2015-06-04,300308,hfq,84.38,91.4,81.11,91.4,83.09,8.310000000000002,10.0,108649.41,284785.4633,tushare,2026-04-26 00:34:16
2015-06-05,300308,hfq,93.18,100.53,93.18,98.88,91.4,7.47999999999999,8.18,109804.4,326523.7402,tushare,2026-04-26 00:34:16
2015-06-08,300308,hfq,96.08,96.54,89.26,90.28,98.88,-8.599999999999994,-8.7,81875.55,230172.564,tushare,2026-04-26 00:34:16
2015-06-09,300308,hfq,88.99,97.17,84.97,95.58,90.28,5.299999999999997,5.87,60642.37,166312.1989,tushare,2026-04-26 00:34:16
2015-06-10,300308,hfq,94.27,102.14,92.29,98.22,95.58,2.6400000000000006,2.76,60271.88,179457.6121,tushare,2026-04-26 00:34:16
2015-06-11,300308,hfq,95.25,100.46,94.79,96.28,98.22,-1.9399999999999977,-1.98,44679.94,131034.0754,tushare,2026-04-26 00:34:16
2015-06-12,300308,hfq,95.98,97.89,93.61,95.91,96.28,-0.37000000000000455,-0.38,43879.42,127446.6783,tushare,2026-04-26 00:34:16
2015-06-15,300308,hfq,95.91,103.0,94.1,96.97,95.91,1.0600000000000023,1.11,69749.94,208338.1907,tushare,2026-04-26 00:34:16
2015-06-16,300308,hfq,95.58,101.81,93.67,99.34,96.97,2.3700000000000045,2.44,64625.72,192752.6392,tushare,2026-04-26 00:34:16
2015-06-17,300308,hfq,98.06,108.74,97.23,106.99,99.34,7.6499999999999915,7.7,80946.16,253455.2487,tushare,2026-04-26 00:34:16
2015-06-18,300308,hfq,104.15,107.38,96.28,98.48,106.99,-8.509999999999991,-7.95,60497.83,189245.4045,tushare,2026-04-26 00:34:16
2015-06-19,300308,hfq,93.97,94.92,88.63,88.63,98.48,-9.850000000000009,-10.0,41732.5,115463.0764,tushare,2026-04-26 00:34:16
2015-06-23,300308,hfq,85.73,90.01,79.76,87.05,88.63,-1.5799999999999983,-1.78,51695.71,134505.8347,tushare,2026-04-26 00:34:16
2015-06-24,300308,hfq,88.99,95.75,87.34,95.19,87.05,8.14,9.35,87433.56,243885.7801,tushare,2026-04-26 00:34:16
2015-06-25,300308,hfq,92.45,94.92,85.66,85.86,95.19,-9.329999999999998,-9.8,53421.92,146582.4792,tushare,2026-04-26 00:34:16
2015-06-26,300308,hfq,84.38,85.86,77.29,77.29,85.86,-8.569999999999993,-9.98,33260.4,79661.0934,tushare,2026-04-26 00:34:16
2015-06-29,300308,hfq,82.07,82.07,69.58,69.58,77.29,-7.710000000000008,-9.98,42693.52,92504.0163,tushare,2026-04-26 00:34:16
2015-06-30,300308,hfq,62.62,75.21,62.62,71.75,69.58,2.1700000000000017,3.12,62771.79,127510.7059,tushare,2026-04-26 00:34:16
2015-07-01,300308,hfq,71.85,75.64,64.57,64.57,71.75,-7.180000000000007,-10.01,48083.12,103422.4174,tushare,2026-04-26 00:34:16
2015-07-02,300308,hfq,65.33,67.4,58.11,58.11,64.57,-6.459999999999994,-10.0,80281.31,151270.741,tushare,2026-04-26 00:34:16
2015-07-03,300308,hfq,52.77,57.68,52.31,52.31,58.11,-5.799999999999997,-9.98,65673.26,105890.2075,tushare,2026-04-26 00:34:16
2015-07-06,300308,hfq,57.32,57.32,47.07,47.07,52.31,-5.240000000000002,-10.02,56672.62,88295.5889,tushare,2026-04-26 00:34:16
2015-07-07,300308,hfq,42.39,42.39,42.35,42.35,47.07,-4.719999999999999,-10.03,6040.0,7763.839,tushare,2026-04-26 00:34:16
2015-07-08,300308,hfq,38.13,40.05,38.13,39.22,42.35,-3.1300000000000026,-7.39,210519.68,246895.4862,tushare,2026-04-26 00:34:16
2015-07-09,300308,hfq,36.92,43.14,36.92,43.14,39.22,3.9200000000000017,9.99,45998.11,58329.5327,tushare,2026-04-26 00:34:16
2015-07-10,300308,hfq,46.14,47.46,46.14,47.46,43.14,4.32,10.01,9961.36,14215.9464,tushare,2026-04-26 00:34:16
2015-07-13,300308,hfq,52.21,52.21,51.58,52.21,47.46,4.75,10.01,37113.3,58759.7366,tushare,2026-04-26 00:34:16
2015-07-14,300308,hfq,54.78,57.42,52.77,57.42,52.21,5.210000000000001,9.98,162509.27,274621.515,tushare,2026-04-26 00:34:16
2015-07-15,300308,hfq,55.6,55.74,51.68,51.68,57.42,-5.740000000000002,-10.0,61914.02,99659.4452,tushare,2026-04-26 00:34:16
2015-07-16,300308,hfq,46.67,54.42,46.5,50.13,51.68,-1.5499999999999972,-3.0,66021.65,101096.3308,tushare,2026-04-26 00:34:16
2015-07-17,300308,hfq,51.12,54.98,49.57,53.69,50.13,3.559999999999995,7.1,55637.38,88579.8752,tushare,2026-04-26 00:34:16
