date,symbol,adjust,open,high,low,close,pre_close,change,pct_change,volume,amount,source,updated_at
2015-01-05,000333,raw,27.88,30.1,27.88,29.88,,,,974089.91,2869142.8683,tushare,2026-04-26 00:36:03
2015-01-06,000333,raw,29.86,32.49,29.46,31.71,29.88,1.8300000000000018,6.12,871277.7,2743939.0322,tushare,2026-04-26 00:36:03
2015-01-07,000333,raw,31.72,32.33,30.92,31.65,31.71,-0.060000000000002274,-0.19,368274.28,1158683.57,tushare,2026-04-26 00:36:03
2015-01-08,000333,raw,31.46,32.76,30.9,32.1,31.65,0.45000000000000284,1.42,531174.88,1697994.8595,tushare,2026-04-26 00:36:03
2015-01-09,000333,raw,31.97,32.8,31.09,31.11,32.1,-0.990000000000002,-3.08,433168.49,1390729.2093,tushare,2026-04-26 00:36:03
2015-01-12,000333,raw,31.08,32.65,30.5,32.02,31.11,0.9100000000000037,2.93,438234.71,1396137.8212,tushare,2026-04-26 00:36:03
2015-01-13,000333,raw,32.01,33.48,31.51,33.2,32.02,1.1799999999999997,3.69,455765.02,1491650.1051,tushare,2026-04-26 00:36:03
2015-01-14,000333,raw,33.39,33.4,31.4,31.88,33.2,-1.3200000000000038,-3.98,365269.91,1177626.0088,tushare,2026-04-26 00:36:03
2015-01-15,000333,raw,31.85,32.45,31.05,32.05,31.88,0.16999999999999815,0.53,309027.57,978807.9269,tushare,2026-04-26 00:36:03
2015-01-16,000333,raw,32.0,32.05,31.15,31.48,32.05,-0.5699999999999967,-1.78,378343.97,1188067.5886,tushare,2026-04-26 00:36:03
2015-01-19,000333,raw,30.0,31.0,28.33,29.47,31.48,-2.0100000000000016,-6.39,618833.78,1831044.7782,tushare,2026-04-26 00:36:03
2015-01-20,000333,raw,29.51,30.87,29.48,30.5,29.47,1.0300000000000011,3.5,445348.28,1341859.2594,tushare,2026-04-26 00:36:03
2015-01-21,000333,raw,30.56,31.42,30.09,31.18,30.5,0.6799999999999997,2.23,384730.0,1182623.4372,tushare,2026-04-26 00:36:03
2015-01-22,000333,raw,31.19,31.38,30.5,30.86,31.18,-0.3200000000000003,-1.03,261072.9,806314.0482,tushare,2026-04-26 00:36:03
